component_id,split,parent_groups,parent_group_count,image_count,Decks_non_cracked,Decks_cracked,Pavements_non_cracked,Pavements_cracked,Walls_non_cracked,Walls_cracked
sdnet_component_0000,train,Decks:7001,1,252,219,33,0,0,0,0
sdnet_component_0001,train,Decks:7002,1,252,212,40,0,0,0,0
sdnet_component_0002,val,Decks:7003,1,252,224,28,0,0,0,0
sdnet_component_0003,train,Decks:7004,1,252,199,53,0,0,0,0
sdnet_component_0004,train,Decks:7005,1,252,208,44,0,0,0,0
sdnet_component_0005,test,Decks:7006,1,252,217,35,0,0,0,0
sdnet_component_0006,test,Decks:7007,1,252,212,40,0,0,0,0
sdnet_component_0007,train,Decks:7008,1,252,230,22,0,0,0,0
sdnet_component_0008,train,Decks:7009,1,252,194,58,0,0,0,0
sdnet_component_0009,train,Decks:7010,1,252,192,60,0,0,0,0
sdnet_component_0010,train,Decks:7011,1,252,196,56,0,0,0,0
sdnet_component_0011,train,Decks:7012,1,252,207,45,0,0,0,0
sdnet_component_0012,test,Decks:7013,1,252,229,23,0,0,0,0
sdnet_component_0013,train,Decks:7014,1,252,233,19,0,0,0,0
sdnet_component_0014,train,Decks:7015,1,252,212,40,0,0,0,0
sdnet_component_0015,train,Decks:7016,1,252,226,26,0,0,0,0
sdnet_component_0016,test,Decks:7017,1,252,210,42,0,0,0,0
sdnet_component_0017,train,Decks:7018,1,252,218,34,0,0,0,0
sdnet_component_0018,train,Decks:7019,1,252,219,33,0,0,0,0
sdnet_component_0019,train,Decks:7020,1,252,182,70,0,0,0,0
sdnet_component_0020,train,Decks:7021,1,252,169,83,0,0,0,0
sdnet_component_0021,val,Decks:7022,1,252,205,47,0,0,0,0
sdnet_component_0022,val,Decks:7023,1,252,226,26,0,0,0,0
sdnet_component_0023,train,Decks:7024,1,252,219,33,0,0,0,0
sdnet_component_0024,test,Decks:7025,1,252,225,27,0,0,0,0
sdnet_component_0025,train,Decks:7026,1,252,186,66,0,0,0,0
sdnet_component_0026,val,Decks:7027,1,252,182,70,0,0,0,0
sdnet_component_0027,train,Decks:7028,1,252,178,74,0,0,0,0
sdnet_component_0028,train,Decks:7029,1,252,200,52,0,0,0,0
sdnet_component_0029,test,Decks:7030,1,252,243,9,0,0,0,0
sdnet_component_0030,train,Decks:7031,1,252,244,8,0,0,0,0
sdnet_component_0031,val,Decks:7032,1,252,249,3,0,0,0,0
sdnet_component_0032,train,Decks:7033,1,252,233,19,0,0,0,0
sdnet_component_0033,train,Decks:7034,1,252,229,23,0,0,0,0
sdnet_component_0034,train,Decks:7035,1,252,225,27,0,0,0,0
sdnet_component_0035,train,Decks:7036,1,252,211,41,0,0,0,0
sdnet_component_0036,val,Decks:7037,1,252,217,35,0,0,0,0
sdnet_component_0037,train,Decks:7038,1,252,203,49,0,0,0,0
sdnet_component_0038,test,Decks:7039,1,254,200,54,0,0,0,0
sdnet_component_0039,test,Decks:7040,1,252,203,49,0,0,0,0
sdnet_component_0040,train,Decks:7041,1,252,207,45,0,0,0,0
sdnet_component_0041,val,Decks:7043,1,252,236,16,0,0,0,0
sdnet_component_0042,train,Decks:7044,1,252,244,8,0,0,0,0
sdnet_component_0043,train,Decks:7045,1,252,227,25,0,0,0,0
sdnet_component_0044,train,Decks:7046,1,252,218,34,0,0,0,0
sdnet_component_0045,train,Decks:7047,1,252,231,21,0,0,0,0
sdnet_component_0046,train,Decks:7048,1,252,171,81,0,0,0,0
