path,torque_cnm,label,label_name,source,split,use_binary
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-00_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-01_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-02_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-03_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-04_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-05_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-06_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-07_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-08_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,test,1
dataset/orion-ae-sensor-b-subset/salves_out_05cNm_B_Fs5MHz_Tf1s_2019-04-02-16-22-09_1.mat,5,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,test,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-34_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-35_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-36_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-37_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-39_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-40_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-41_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-42_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-43_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,test,1
dataset/orion-ae-sensor-b-subset/salves_out_10cNm_B_Fs5MHz_Tf1s_2019-04-02-16-20-44_1.mat,10,0,low_torque_proxy_normal,orion_ae_sensor_b_proxy,test,1
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-29_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-30_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-31_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-32_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-33_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
